;b0.9;b0.99;b0.999
37;0.7336181766570629;0.708061574483934;0.6867647975207545
38;0.7278533112357264;0.7022121606890601;0.6808550359440193
39;0.7221084454427713;0.6963875834627644;0.6749739467625007
40;0.7163830353858145;0.6905871578755018;0.6691207367221974
41;0.7106765708165017;0.684810241314697;0.6632946611142971
42;0.7049885723947458;0.6790562298758696;0.6574950201663021
43;0.6993185890693836;0.6733245553358349;0.6517211552585302
44;0.6936661960991144;0.667614682591567;0.6459724460719398
45;0.6880309930152322;0.6619261070408542;0.6402483073285028
46;0.6824126018753944;0.6562583522539938;0.6345481866957248
47;0.6768106656338106;0.6506109681693515;0.6288715621090963
48;0.671224846686048;0.6449835292307198;0.6232179397348234
49;0.6656548255884638;0.6393756325828779;0.61758685216539
50;0.660100299835845;0.6337868966746094;0.6119778564987046
51;0.6545609826972547;0.6282169598035106;0.6063905329411181
52;0.6490366023429168;0.6226654789518358;0.6008244832358147
53;0.6435269009128941;0.6171321285641385;0.595279329149415
54;0.6380316334693501;0.6116165994413245;0.5897547115988593
55;0.6325505674726792;0.6061185979257451;0.5842502893126327
56;0.6270834820830173;0.6006378447952512;0.5787657378994411
57;0.6216301671125004;0.5951740746229097;0.5733007486840598
58;0.6161904230834758;0.5897270349038881;0.5678550281252548
59;0.6107640599479303;0.5842964854733781;0.5624282967680472
60;0.6053508972621158;0.5788821976334804;0.5570202886034268
61;0.5999507630806018;0.5734839538621663;0.5516307504280693
62;0.5945634939562774;0.5681015470565789;0.5462594410294284
63;0.5891889344746883;0.5627347798927484;0.5409061307200742
64;0.5838269366137525;0.5573834648255911;0.5355706008138252
65;0.5784773596855541;0.5520474230411734;0.5302526429272563
66;0.5731400698706814;0.5467264844567101;0.5249520588050745
67;0.5678149398689796;0.5414204872549049;0.5196686595052125
68;0.5625018488413451;0.5361292774764941;0.5144022652824143
69;0.5572006818858557;0.5308527086710038;0.5091527051225722
70;0.5519113298631473;0.5255906416057092;0.503919816335274
71;0.5466336893382062;0.5203429440910123;0.4987034442627656
72;0.5413676621729169;0.5151094905147819;0.4935034418724954
73;0.5361131552932294;0.5098901617259355;0.48831966958249284
74;0.5308700808055764;0.5046848447434038;0.4831519950867452
75;0.5256383554730026;0.49949343263971424;0.47800029277312006
76;0.520417900831581;0.49431582419174414;0.47286444378157444
77;0.5152086427829599;0.4891519238225148;0.467744335713115
78;0.5100105117107767;0.48400164136835955;0.46263986239696875
79;0.5048234421314128;0.4788648917296783;0.45755092359954364
80;0.49964737286861727;0.47374159522018344;0.45247742514084466
81;0.49448224652963635;0.4686316768684079;0.44741927837060413
82;0.4893280097380447;0.463535066592328;0.4423764002264904
83;0.4841846130173312;0.4584516990829486;0.43734871317589896
84;0.47905201044165113;0.4533815135714714;0.43233614480850013
85;0.4739301598104504;0.44832445377108876;0.42733862789444554
86;0.4688190225320502;0.44328046776056684;0.42235610038436855
87;0.4637185635654384;0.4382495080424549;0.4173885049437236
88;0.4586287511292324;0.4332315311938377;0.41243578936023906
89;0.45354955705092437;0.428226498157375;0.4074979059618402
90;0.44848095635942775;0.4232343737174318;0.40257481179127375
91;0.4434229274014927;0.41825512690753286;0.3976664686643143
92;0.4383754518999138;0.41328873060290805;0.3927728427623105
93;0.4333385146624916;0.4083351617533236;0.38789390492322495
94;0.4283121038148633;0.4033944010338364;0.3830296302923857
95;0.42329621062587963;0.3984664331940392;0.3781799985553198
96;0.41829082939119;0.3935512465923997;0.37334499370492014
97;0.41329595778248795;0.38864883366192216;0.36852460404144716
98;0.4083115964982652;0.3837591904444855;0.36371882240535847
99;0.4033377493802277;0.3788823168236747;0.35892764565344015
100;0.398374423355087;0.37401821646657196;0.3541510751826765
101;0.3934216286091835;0.36916689694017346;0.3493891165810026
102;0.38847937841386426;0.36432836947855785;0.34464177986013633
103;0.38354768912548143;0.3595026490993013;0.33990907916453916
104;0.37862658053464016;0.3546897548945168;0.3351910331788702
105;0.373716075342328;0.3498897094487766;0.3304876648369477
106;0.3688161997419922;0.3451025395376047;0.32579900149637264
107;0.3639269830702939;0.34032827577823077;0.32112507493852727
108;0.35904845803993846;0.33556695257138225;0.31646592142678465
109;0.3541806606232605;0.33081860856694567;0.31182158176471486
110;0.3493236303432613;0.3260832863147215;0.3071921013542934
