k;b0.9;b0.99;b0.999
41;0.7661597453322504;0.7442819928172124;0.7259653736974512
42;0.7615282150808464;0.7395663314247831;0.7211858910392104
43;0.7569099761995393;0.7348671997856593;0.7164255252901741
44;0.7523046842736005;0.7301841639035225;0.7116837730122847
45;0.7477120139222058;0.7255168137636094;0.7069601584161225
46;0.7431316574014526;0.7208647618193147;0.7022542315564699
47;0.7385633234402063;0.7162276408385062;0.6975655662950417
48;0.7340067357849092;0.7116051030304111;0.6928937587870878
49;0.7294616326175023;0.7069968182993847;0.688238425851577
50;0.7249277651002362;0.7024024731971734;0.6835992035160061
51;0.7204048968518004;0.697821769875177;0.6789757459104551
52;0.7158928028995857;0.6932544248038801;0.674367723812394
53;0.7113912692722315;0.6887001683071903;0.6697748238899852
54;0.7069000918936779;0.684158743281869;0.6651967475379283
55;0.702419076233924;0.6796299046154579;0.6606332099461394
56;0.6979480368433613;0.6751134184877823;0.6560839394012579
57;0.6934867965960783;0.6706090614978408;0.65154867647174
58;0.6890351861659902;0.6661166204891793;0.6470271732511572
59;0.684593043852215;0.6616358913857392;0.6425191926015004
60;0.6801602149969983;0.6571666792500643;0.6380245079785536
61;0.6757365515200502;0.6527087974101866;0.6335429022677417
62;0.6713219118603404;0.6482620671685875;0.6290741677259237
63;0.6669161601611882;0.6438263173365362;0.6246181052828996
64;0.6625191665030947;0.6394013839430528;0.6201745241339571
65;0.6581308062634588;0.6349871097110373;0.6157432414488337
66;0.6537509598837441;0.6305833437662334;0.6113240816732248
67;0.6493795128112754;0.6261899415208112;0.6069168765287827
68;0.6450163549753649;0.6218067640330847;0.6025214643146255
69;0.640661380903732;0.6174336780657184;0.5981376899073374
70;0.6363144892568391;0.6130705555618579;0.5937654043535145
71;0.6319755827114775;0.6087172736451323;0.5894044644623113
72;0.6276445679025588;0.6043737141539893;0.5850547326308175
73;0.623321354957455;0.6000397636416985;0.5807160767276431
74;0.6190058577288287;0.5957153130271036;0.5763883696854648
75;0.6146979933871775;0.5914002575364143;0.5720714893264023
76;0.6103976823044219;0.5870944964121712;0.5677653181873961
77;0.6061048479956963;0.5827979327386177;0.5634697433455846
78;0.601819416944724;0.578510473441705;0.5591846561854721
79;0.5975413186038205;0.5742320289980509;0.5549099523407237
80;0.5932704851028536;0.5699625133185242;0.5506455312867085
81;0.5890068511910358;0.5657018437482477;0.5463912965151254
82;0.5847503542951307;0.5614499407755558;0.5421471552429626
83;0.5805009342866256;0.5572067278573749;0.5379130180050455
84;0.576258533365313;0.5529721317102605;0.5336887991779056
85;0.5720230961174997;0.5487460816119039;0.5294744161648717
86;0.5677945692831765;0.5445285099832116;0.5252697896871099
87;0.563572901872432;0.5403193515733953;0.5210748436672072
88;0.5593580448744162;0.5361185439838432;0.516889504938135
89;0.5551499513155469;0.5319260272606643;0.5127137032432458
90;0.5509485763177171;0.5277417438946896;0.5085473712362765
91;0.5467538767490507;0.523565638763265;0.5043904443067233
92;0.5425658113985234;0.5193976590720413;0.5002428603470126
93;0.5383843408595494;0.5152377541803541;0.4961045601017452
94;0.5342094275299794;0.5110858757176373;0.49197548664382895
95;0.5300410353792715;0.5069419774088002;0.487855585549101
96;0.5258791302395287;0.5028060150742291;0.4837448047799131
97;0.5217236792816304;0.4986779463969534;0.47964309456871457
98;0.5175746515973085;0.49455773127189573;0.47555040753447
99;0.5134320175588643;0.49044533128199963;0.47146669833341115
100;0.5092957492266199;0.48634071004747703;0.467391924008285
101;0.5051658200578824;0.4822438329347699;0.4633260434644825
102;0.5010422049069421;0.47815466705654974;0.4592690178192864
103;0.4969248801996967;0.47407318144634125;0.455220810285455
104;0.4928138237008193;0.46999934670927557;0.4511813858801845
105;0.48870901445555237;0.4659331352549215;0.4471507116579385
106;0.48461043302253715;0.46187452100624693;0.4431287566522416
107;0.4805180611245681;0.45782347974886506;0.43911549164284813
108;0.4764318818814235;0.45377998860716506;0.43511088927215746
109;0.4723518797516578;0.449744026509974;0.43111492416162933
110;0.4682780403579794;0.44571557384131;0.4271275725625383
111;0.4642103506618718;0.4416946125567982;0.42314881253059644
112;0.4601487987889721;0.43768112612546306;0.4191786238677452
113;0.4560933741454861;0.4336750994715204;0.4152169881803637
114;0.4520440673599807;0.42967651909079263;0.41126388864643815
115;0.4480008702833832;0.4256853729342943;0.4073193101901843
116;0.44396377587256663;0.4217016503500235;0.40338323942384025
117;0.43993277842318024;0.41772534214116963;0.399455664647666
118;0.4359078732204035;0.4137564407407369;0.3955365757917365
119;0.4318890569463998;0.4097949396876748;0.39162596429952556
120;0.42787632721465485;0.40584083420895534;0.38772382336073685
121;0.42386968303563877;0.4018941208703265;0.3838301477948882
122;0.4198691244093513;0.39795479757631236;0.37994493399310514
123;0.4158746526745687;0.39402286368662875;0.376068179976327
